sample_id,uw_partfe,mp_partfe,site
2019050801-01,6,133,Filter blank
2019050802-01,153,244,227 LA CB Epi
2019050802-02,187,295,227 LA CB Meta
2019050802-03,200,319,227 LA CB 4m
2019050802-04,701,1002,227 LA CB 6m
2019050802-05,289,372,227 LA CB 8m
2019050802-06,566,685,227 LA CB 10m
2019050802-07,477,658,227 LA CB 10m
2019051301-01,19,120,Filter blank
2019051306-01,268,321,304 LA CB Epi
2019051306-02,592,697,304 LA CB Hypo
2019051404-01,148,233,303 LA CB Epi
2019052101-01,179,275,Filter blank
2019052102-01,297,351,227 LA CB Epi
2019052102-02,75,152,227 LA CB Meta
2019060401-01,67,126,Filter blank
2019060405-01,60,134,227 LA CB Epi
2019060405-02,95,172,227 LA CB Meta
2019060405-03,59,131,227 LA CB 4m
2019060405-04,708,939,227 LA CB 6m
2019060405-05,632,809,227 LA CB 8m
2019060405-06,446,587,227 LA CB 10m
2019061001-01,16,106,Filter blank
2019061003-01,152,227,303 LA CB Epi
2019061006-01,82,149,304 LA CB Epi
2019061006-02,950,1322,304 LA CB Hypo
2019061801-01,-8,90,Filter blank
2019061803-01,49,133,227 LA CB Epi
2019061803-02,43,129,227 LA CB Meta
2019070201-01,-15,78,Filter blank
2019070203-01,52,121,227 LA CB Epi
2019070203-02,71,155,227 LA CB Meta
2019070203-03,55,140,227 LA CB 4m
2019070203-04,391,490,227 LA CB 6m
2019070203-05,492,528,227 LA CB 8m
2019070203-06,656,679,227 LA CB 10m
2019070801-01,-14,32,Filter blank
2019070803-01,244,262,303 LA CB Epi
2019070805-01,72,92,304 LA CB Epi
2019070805-02,361,552,304 LA CB Hypo
2019071601-01,-15,30,Filter blank
2019071603-01,67,94,227 LA CB Epi
2019071603-02,45,91,227 LA CB Meta
2019080701-01,-16,31,Filter blank
2019080703-01,63,93,227 LA CB Epi
2019080703-02,73,97,227 LA CB Meta
2019080703-03,170,187,227 LA CB 4m
2019080703-04,220,232,227 LA CB 6m
2019080703-05,361,359,227 LA CB 8m
2019080703-06,444,393,227 LA CB 10m
2019080703-07,326,319,227 LA CB 10m
2019081301-01,-16,47,Filter blank
2019081304-01,239,259,303 LA CB Epi
2019081305-01,83,109,304 LA CB Epi
2019081305-02,966,1168,304 LA CB Hypo
2019082001-01,-14,37,Filter blank
2019082003-01,72,114,227 LA CB Epi
2019082003-02,75,114,227 LA CB Meta
2019090301-01,14,62,Filter blank
2019090302-01,211,230,227 LA CB Epi
2019090302-03,376,417,227 LA CB 4m
2019090302-04,103,147,227 LA CB 6m
2019090302-05,427,404,227 LA CB 8m
2019090302-06,472,475,227 LA CB 10m
2019090903-01,169,212,303 LA CB Epi
2019090904-01,223,231,304 LA CB Epi
2019090904-02,1376,1434,304 LA CB Hypo
2019091705-01,131,159,227 LA CB Epi
2019100102-01,119,154,227 LA CB Epi
2019100102-03,110,153,227 LA CB 4m
2019100102-04,73,119,227 LA CB 6m
2019100102-05,178,186,227 LA CB 8m
2019100102-06,242,253,227 LA CB 10m
2019100703-01,134,169,303 LA CB Epi
2019100704-01,185,305,304 LA CB Epi
2019100704-02,367,370,304 LA CB Hypo
2019102102-01,134,153,303 LA CB Epi
2019102103-01,129,161,304 LA CB Epi
2019102103-02,157,206,304 LA CB Hypo
2019102103-03,129,149,304 LA CB Epi
2019103002-01,722,732,227 LA CB Epi
2019103002-03,776,796,227 LA CB 4m
2019103002-04,604,635,227 LA CB 6m
2019103002-05,852,870,227 LA CB 8m
2019103002-06,871,880,227 LA CB 10m
2019103002-07,768,832,227 LA CB 6m
2020010701-01,-8,39,Filter blank
2020010702-01,287,296,227 LA CB 1m
2020010702-02,343,351,227 LA CB 4m
2020010702-03,78,117,227 LA CB 6m
2020010702-04,122,135,227 LA CB 8m
2020010702-05,369,359,227 LA CB 10m
2020010702-06,72,104,227 LA CB 6m
2020010704-01,139,174,303 LA CB 1m
2020010705-01,104,130,304 LA CB 1m
2020031701-02,8,44,Method blank
2020031702-01,86,113,227 LA CB 1m
2020031702-02,145,164,227 LA CB 4m
2020031702-03,87,102,227 LA CB 6m
2020031702-04,128,143,227 LA CB 8m
2020031702-05,292,291,227 LA CB 10m
2020031706-01,276,269,303 LA CB 1m
2020031707-01,92,109,304 LA CB 1m
2020050601-02,26,53,Method blank
2020050605-01,156,168,303 LA CB Epi
2020050701-02,30,61,Method blank
2020050702-01,163,172,227 LA CB Epi
2020053105-01,219,225,303 LA CB Epi
2020053106-01,114,125,304 LA CB Epi
2020053106-02,169,171,304 LA CB Meta
2020060201-02,22,48,Method blank
2020060203-01,107,124,227 LA CB Epi
2020062801-02,3,32,Method blank
2020062805-01,281,267,303 LA CB Epi
2020062806-01,220,225,304 LA CB Epi
2020063001-02,1,29,Method blank
2020063004-01,75,92,227 LA CB Epi
2020072701-02,83,97,Method blank
2020072705-01,224,215,303 LA CB Epi
2020072706-01,83,101,304 LA CB Epi
2020072801-02,1,27,Method blank
